RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,MaxHealthDownValue,ForceKillType,IsTarDirtyAttack,IsLastResortSuccessFinish,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,IsSensorCollision,IsArrowFlipCollision,Parts,PressLevel,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type,DamageValue,DamageInterval,ElementDamageValue,ConditionValue,DamageExRate,ElementDamageExRate,IsOnlyHitEmAttack
19,SMASH(21),NONE(1996289920),FRONT(0),0.0,85.0,0.0,NORMAL(0),90.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,70.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['CENTER(6)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,True,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,BoostRushEnd,,|||||||||||,6,,0,|||||||||||,L_c_f_asi_a|L_c_f_asi_b|L_j_f_asi_c|L_e_f_asi_d|R_c_f_asi_a|R_c_f_asi_b|R_j_f_asi_c|R_e_f_asi_d|n_hara|n_hara|n_hara|n_hara,L_c_f_asi_b|L_j_f_asi_c|L_c_f_asi_d|L_Hand1|R_c_f_asi_b|R_j_f_asi_c|R_c_f_asi_d|R_Hand1|n_hara|n_hara|n_hara|n_hara,ContinuousCapsule|ContinuousCapsule|ContinuousCapsule|ContinuousSphere|ContinuousCapsule|ContinuousCapsule|ContinuousCapsule|ContinuousSphere|ContinuousCapsule|ContinuousCapsule|ContinuousCapsule|ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': -0.07741678, 'y': -0.14483619, 'z': -0.026007652}, 'radius': 0.6}|{'x': -0.099288374, 'y': -0.27280116, 'z': -0.038535118, 'radius': 1.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': -1.4305115e-06, 'y': 0.0, 'z': -2.3841858e-07}, 'end': {'x': 0.07741678, 'y': -0.14483595, 'z': -0.026007175}, 'radius': 0.6}|{'x': 0.099288225, 'y': -0.27280092, 'z': -0.038535118, 'radius': 1.3}|{'start': {'x': -0.00011682237, 'y': 1.0872496, 'z': 3.0215719}, 'end': {'x': -0.0014571098, 'y': 1.0366921, 'z': 1.9763044}, 'radius': 2.8}|{'start': {'x': -2.9720244, 'y': -0.093934685, 'z': 5.075046}, 'end': {'x': -2.9727964, 'y': -0.1230616, 'z': 4.4728246}, 'radius': 1.0}|{'start': {'x': 2.9720244, 'y': -0.093934774, 'z': 5.075046}, 'end': {'x': 2.9727964, 'y': -0.12306166, 'z': 4.4728246}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.26730752, 'z': 2.3503213}, 'end': {'x': -9.546056e-09, 'y': 0.20043254, 'z': 1.9683964}, 'radius': 2.8}",,,,,,,,,,,,,,,,,,,
20,SMASH(21),NONE(1996289920),FRONT(0),0.0,85.0,0.0,NORMAL(0),90.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,70.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,BoostRushBack,,|||||||||,7,,0,|||||||||,L_c_b_asi_a|L_c_b_asi_b|L_j_b_asi_c|L_e_b_asi_d|R_c_b_asi_a|R_c_b_asi_b|R_j_b_asi_c|R_e_b_asi_d|n_hara|n_hara,L_c_b_asi_b|L_j_b_asi_c|L_c_b_asi_d|L_Hand1|R_c_b_asi_b|R_j_b_asi_c|R_c_b_asi_d|R_Hand1|n_hara|n_hara,ContinuousCapsule|ContinuousCapsule|ContinuousCapsule|ContinuousSphere|ContinuousCapsule|Capsule|Capsule|ContinuousSphere|ContinuousCapsule|ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 4.7683716e-07, 'y': 9.536743e-07, 'z': 4.7683716e-07}, 'end': {'x': -0.05859047, 'y': -0.16859269, 'z': 0.040641785}, 'radius': 0.6}|{'x': -0.099288374, 'y': -0.27280116, 'z': -0.038535118, 'radius': 1.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': -4.7683716e-07, 'y': 9.536743e-07, 'z': 9.536743e-07}, 'end': {'x': 0.05859065, 'y': -0.16859245, 'z': 0.040641785}, 'radius': 0.6}|{'x': 0.09928846, 'y': -0.27280092, 'z': -0.038535357, 'radius': 1.3}|{'start': {'x': -0.0065863845, 'y': 0.84319663, 'z': -2.0241814}, 'end': {'x': -0.007268958, 'y': 0.817451, 'z': -2.5564837}, 'radius': 2.8}|{'start': {'x': 0.101903915, 'y': 0.1544559, 'z': -1.4672452}, 'end': {'x': 0.10325925, 'y': 0.15208745, 'z': -1.4237406}, 'radius': 2.8}",,,,,,,,,,,,,,,,,,,
21,SMASH(21),NONE(1996289920),FRONT(0),0.0,85.0,0.0,NORMAL(0),90.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,70.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['CENTER(6)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,BoostRushEndBack,,|||||||||,7,,0,|||||||||,L_c_b_asi_a|L_c_b_asi_b|L_j_b_asi_c|L_e_b_asi_d|R_c_b_asi_a|R_c_b_asi_b|R_j_b_asi_c|R_e_b_asi_d|n_hara|n_hara,L_c_b_asi_b|L_j_b_asi_c|L_c_b_asi_d|L_Hand1|R_c_b_asi_b|R_j_b_asi_c|R_c_b_asi_d|R_Hand1|n_hara|n_hara,ContinuousCapsule|ContinuousCapsule|ContinuousCapsule|ContinuousSphere|ContinuousCapsule|Capsule|Capsule|ContinuousSphere|ContinuousCapsule|ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 4.7683716e-07, 'y': 9.536743e-07, 'z': 4.7683716e-07}, 'end': {'x': -0.05859047, 'y': -0.16859269, 'z': 0.040641785}, 'radius': 0.6}|{'x': -0.099288374, 'y': -0.27280116, 'z': -0.038535118, 'radius': 1.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': -4.7683716e-07, 'y': 9.536743e-07, 'z': 9.536743e-07}, 'end': {'x': 0.05859065, 'y': -0.16859245, 'z': 0.040641785}, 'radius': 0.6}|{'x': 0.09928846, 'y': -0.27280092, 'z': -0.038535357, 'radius': 1.3}|{'start': {'x': -0.0065863845, 'y': 0.84319663, 'z': -2.0241814}, 'end': {'x': -0.007268958, 'y': 0.817451, 'z': -2.5564837}, 'radius': 2.8}|{'start': {'x': 0.101903915, 'y': 0.1544559, 'z': -1.4672452}, 'end': {'x': 0.10325925, 'y': 0.15208745, 'z': -1.4237406}, 'radius': 2.8}",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em0166_00_Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head,,|,0,,0,|,n_hara|n_hara,n_hara|n_hara,Sphere|Sphere,"{'x': -0.10003877, 'y': 1.77, 'z': 4.02, 'radius': 2.0}|{'x': -0.099938594, 'y': 0.83676994, 'z': 4.319075, 'radius': 2.0}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '52408407-646e-435f-8e12-520d2858439e'}}",,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,PRIO_9(6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beam,,|,7,,0,|,e_beamA|j_beamB,c_beamA|,Capsule|Sphere,"{'start': {'x': -4.1670864e-07, 'y': -0.47730207, 'z': 1.1920929e-07}, 'end': {'x': -2.9214425e-07, 'y': 0.41578722, 'z': -1.1920929e-07}, 'radius': 0.6}|{'x': 0.0, 'y': 0.1, 'z': 0.0, 'radius': 1.5}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': 'da60ae8b-1128-442a-b433-d8967e354fd9'}}",,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fleg_L,,||||||,1,,0,||||||,L_c_f_asi_a|L_c_f_asi_b|L_j_f_asi_c|L_c_f_tumeA_a|L_c_f_tumeB_a|L_c_f_tumeC_a|L_c_f_tumeD_a,L_c_f_asi_b|L_j_f_asi_c|L_c_f_asi_d|L_c_f_tumeA_c|L_c_f_tumeB_c|L_c_f_tumeC_c|L_c_f_tumeD_c,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.8, 'y': 0.32, 'z': -0.04}, 'end': {'x': 1.1920929e-06, 'y': -7.1525574e-07, 'z': -2.3841858e-07}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': -0.07741678, 'y': -0.14483619, 'z': -0.026007652}, 'radius': 1.0}|{'start': {'x': 9.536743e-07, 'y': -6.2584877e-07, 'z': 0.0}, 'end': {'x': 0.13, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}|{'start': {'x': 1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': 0.13, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}|{'start': {'x': 1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': 0.13, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}|{'start': {'x': 1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': 0.13, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '4ce8006d-0909-444b-9e63-8cf4a2f25b55'}}",,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fleg_R,,||||||,2,,0,||||||,R_c_f_asi_a|R_c_f_asi_b|R_j_f_asi_c|R_c_f_tumeA_a|R_c_f_tumeB_a|R_c_f_tumeC_a|R_c_f_tumeD_a,R_c_f_asi_b|R_j_f_asi_c|R_c_f_asi_d|R_c_f_tumeA_c|R_c_f_tumeB_c|R_c_f_tumeC_c|R_c_f_tumeD_c,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': -0.7999997, 'y': 0.3199998, 'z': -0.03999996}, 'end': {'x': -1.4305115e-06, 'y': -9.536743e-07, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': -9.536743e-07, 'z': 2.3841858e-07}, 'end': {'x': 4.7683716e-07, 'y': -9.536743e-07, 'z': -7.1525574e-07}, 'radius': 1.0}|{'start': {'x': -1.4305115e-06, 'y': 0.0, 'z': -2.3841858e-07}, 'end': {'x': 0.07741678, 'y': -0.14483595, 'z': -0.026007175}, 'radius': 1.0}|{'start': {'x': -4.7683716e-07, 'y': -7.1525574e-07, 'z': -2.3841858e-07}, 'end': {'x': -0.13000011, 'y': 0.0, 'z': -2.3841858e-07}, 'radius': 0.6}|{'start': {'x': -1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': -0.13000011, 'y': 2.9802322e-08, 'z': 0.0}, 'radius': 0.6}|{'start': {'x': -1.4305115e-06, 'y': -2.0861626e-07, 'z': 0.0}, 'end': {'x': -0.13000035, 'y': 0.0, 'z': 4.7683716e-07}, 'radius': 0.6}|{'start': {'x': -1.9073486e-06, 'y': -2.3841858e-07, 'z': -7.1525574e-07}, 'end': {'x': -0.13000011, 'y': 0.0, 'z': 4.7683716e-07}, 'radius': 0.6}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': 'd5d9f99b-ef0d-4b5a-b82e-af1692b98310'}}",,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bleg_L,,||||||,3,,0,||||||,L_c_b_asi_a|L_c_b_asi_b|L_j_b_asi_c|L_c_b_tumeA_a|L_c_b_tumeB_a|L_c_b_tumeC_a|L_c_b_tumeD_a,L_c_b_asi_b|L_j_b_asi_c|L_c_b_asi_d|L_c_b_tumeA_c|L_c_b_tumeB_c|L_c_b_tumeC_c|L_c_b_tumeD_c,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.76, 'y': -0.28, 'z': 0.1}, 'end': {'x': 4.7683716e-07, 'y': 0.0, 'z': -4.7683716e-07}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 4.7683716e-07, 'y': 9.536743e-07, 'z': 4.7683716e-07}, 'end': {'x': -0.05859047, 'y': -0.16859269, 'z': 0.040641785}, 'radius': 1.0}|{'start': {'x': 1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': 0.13, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}|{'start': {'x': 1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': 0.13, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}|{'start': {'x': 1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': 0.13, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}|{'start': {'x': 1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': 0.13, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': 'caf18d47-71e6-4908-b376-fbb2a164a34a'}}",,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bleg_R,,||||||,4,,0,||||||,R_c_b_asi_a|R_c_b_asi_b|R_j_b_asi_c|R_c_b_tumeA_a|R_c_b_tumeB_a|R_c_b_tumeC_a|R_c_b_tumeD_a,R_c_b_asi_b|R_j_b_asi_c|R_c_b_asi_d|R_c_b_tumeA_c|R_c_b_tumeB_c|R_c_b_tumeC_c|R_c_b_tumeD_c,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': -0.75999975, 'y': -0.2800001, 'z': 0.100000024}, 'end': {'x': -2.3841858e-07, 'y': 0.0, 'z': -5.9604645e-07}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': -4.7683716e-07}, 'end': {'x': 2.3841858e-07, 'y': 4.7683716e-07, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': -4.7683716e-07, 'y': 9.536743e-07, 'z': 9.536743e-07}, 'end': {'x': 0.05859065, 'y': -0.16859245, 'z': 0.040641785}, 'radius': 1.0}|{'start': {'x': -1.4305115e-06, 'y': -2.3841858e-07, 'z': 4.7683716e-07}, 'end': {'x': -0.13000011, 'y': 0.0, 'z': 4.7683716e-07}, 'radius': 0.6}|{'start': {'x': -1.9073486e-06, 'y': -1.1920929e-07, 'z': 0.0}, 'end': {'x': -0.13000011, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}|{'start': {'x': -1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': -0.13000035, 'y': 2.9802322e-08, 'z': 0.0}, 'radius': 0.6}|{'start': {'x': -9.536743e-07, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': -0.13000011, 'y': 0.0, 'z': -2.3841858e-07}, 'radius': 0.6}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': 'b3334aff-b1d4-4856-830d-befc28e35fa1'}}",,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back,,||,6,,0,||,n_hara|n_hara|n_hara,n_hara|n_hara|n_hara,Capsule|Capsule|Capsule,"{'start': {'x': -3.4555153e-05, 'y': 3.6476383, 'z': 2.5925584}, 'end': {'x': -3.451093e-05, 'y': 2.9258845, 'z': -2.4677348}, 'radius': 0.4}|{'start': {'x': -3.421362e-05, 'y': 2.9379818, 'z': -2.441733}, 'end': {'x': -3.4213706e-05, 'y': 1.652935, 'z': -4.5941973}, 'radius': 0.4}|{'start': {'x': -4.0025334e-05, 'y': 1.7070756, 'z': -4.6115484}, 'end': {'x': -3.9984327e-05, 'y': 0.09318352, 'z': -5.456219}, 'radius': 0.4}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '2c805fe9-45cf-48c4-92d5-c8f6de9132e3'}}",,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body,,,5,,0,,n_hara,n_hara,Capsule,"{'start': {'x': -8.949189e-05, 'y': 0.8336904, 'z': 1.2328248}, 'end': {'x': -3.274597e-05, 'y': 0.305274, 'z': -2.494919}, 'radius': 2.6}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': 'a789a034-703d-43c8-a87f-9f86c6487bc3'}}",,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,PRIO_15(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weekness,,,8,,0,,e_kao,,Sphere,"{'x': -1.5740404, 'y': 0.4511621, 'z': 0.12990475, 'radius': 2.0}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[1]WEAK_POINT', '_PartsDataGuid': 'd7db3f64-ee9e-4f14-b249-1b1d3c9a1ff8'}}",,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push_Head,,,9,,0,,n_hara,n_hara,Capsule,"{'start': {'x': -0.000111583795, 'y': 1.0386677, 'z': 2.6788511}, 'end': {'x': -2.7636823e-05, 'y': 0.25786972, 'z': -2.8293362}, 'radius': 2.5}",,,,ENEMY_BOSS_LL(2),,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push_Fleg_L,,||,10,,0,||,L_c_f_asi_a|L_c_f_asi_b|L_j_f_asi_c,L_c_f_asi_b|L_j_f_asi_c|L_c_f_asi_d,Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.33592916, 'y': 0.015305281, 'z': 0.16027093}, 'radius': 0.5}|{'start': {'x': -0.01429677, 'y': 0.07454109, 'z': 0.133286}, 'end': {'x': 4.7683716e-07, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': -0.07741678, 'y': -0.14483619, 'z': -0.026007652}, 'radius': 0.4}",,,,ENEMY_BOSS_LL(2),,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push_Fleg_R,,||,11,,0,||,R_c_f_asi_a|R_c_f_asi_b|R_j_f_asi_c,R_c_f_asi_b|R_j_f_asi_c|R_c_f_asi_d,Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': -1.1920929e-07, 'z': -2.3841858e-07}, 'end': {'x': -0.33592892, 'y': 0.015304565, 'z': -0.16027033}, 'radius': 0.5}|{'start': {'x': -0.014296532, 'y': 0.07454014, 'z': -0.133286}, 'end': {'x': 7.1525574e-07, 'y': -4.7683716e-07, 'z': -7.1525574e-07}, 'radius': 0.5}|{'start': {'x': 1.9073486e-06, 'y': -9.536743e-07, 'z': -7.1525574e-07}, 'end': {'x': -0.0774169, 'y': -0.1448369, 'z': 0.026005745}, 'radius': 0.4}",,,,ENEMY_BOSS_LL(2),,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push_Bleg_L,,||,12,,0,||,L_c_b_asi_a|L_c_b_asi_b|L_j_b_asi_c,L_c_b_asi_b|L_j_b_asi_c|L_c_b_asi_d,Capsule|Capsule|Capsule,"{'start': {'x': 1.66893e-06, 'y': -2.3841858e-07, 'z': 7.1525574e-07}, 'end': {'x': -0.34817457, 'y': 0.0057635307, 'z': -0.025545359}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 4.7683716e-07, 'y': 9.536743e-07, 'z': 4.7683716e-07}, 'end': {'x': -0.05859047, 'y': -0.16859269, 'z': 0.040641785}, 'radius': 0.3}",,,,ENEMY_BOSS_LL(2),,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push_Bleg_R,,||,13,,0,||,R_c_b_asi_a|R_c_b_asi_b|R_j_b_asi_c,R_c_b_asi_b|R_j_b_asi_c|R_c_b_asi_d,Capsule|Capsule|Capsule,"{'start': {'x': 1.66893e-06, 'y': -3.5762787e-07, 'z': -4.7683716e-07}, 'end': {'x': -0.3481748, 'y': 0.005763054, 'z': 0.025545001}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': -4.7683716e-07}, 'end': {'x': 2.3841858e-07, 'y': 4.7683716e-07, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 7.1525574e-07, 'y': 9.536743e-07, 'z': -7.1525574e-07}, 'end': {'x': -0.058590174, 'y': -0.1685915, 'z': -0.04064107}, 'radius': 0.3}",,,,ENEMY_BOSS_LL(2),,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,PRIO_15(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WeaknessHead,,,14,,0,,n_hara,,Sphere,"{'x': -0.16688009, 'y': 0.29228568, 'z': 4.840155, 'radius': 2.0}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[1]WEAK_POINT', '_PartsDataGuid': 'd7db3f64-ee9e-4f14-b249-1b1d3c9a1ff8'}}",,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,PRIO_15(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WeaknessFLLeg,,,15,,0,,L_j_f_asi_c,,Sphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 1.5}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[1]WEAK_POINT', '_PartsDataGuid': '6c616d71-ab65-4d69-b569-2a4420f58e4f'}}",,,,,,,,,,,,,,,,
